公司名称,职位名称,职位标签,部门,公司简介,公司行业,公司性质,融资阶段,公司规模,公司主页,工作地点,薪资,职位诱惑,工作性质,经验,学历,职位简介,发布日期,来源网站
路捷投资发展(上海)有限公司,数据分析,NULL,NULL,NULL,消费品食品/饮料/烟酒/日化,其他,NULL,101－300人,NULL,杭州,4001-6000,"['五险一金', '带薪年假', '节日福利']",全职,经验1年,其他,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', ' ', ' 1、负责相关销售渠道数据的收集、整理、统计；并提供每日、每周、每月的数据报表； ', ' ', ' ', ' 2、根据运营需求组织数据，进行统计分析和报表设计； ', ' ', ' ', ' 3、制定各种数据表格，并对各项数据进行分析整理及各种数据的汇总工作，核对相关数据，定期总结并制作当月销售的分析报告； ', ' ', ' ', ' 4、提供常规性数据监控，完成上级领导安排的其它工作任务。', ' ', ' 任职要求：', ' ', ' 1、大专以上学历，一年以上数据分析工作经验； ', ' ', ' ', ' 2、对数字敏感，具有较强的数据分析能力，善于制作各类报表； ', ' ', ' ', ' 3、熟练使用各类办公软件，如PPT、EXCEL等； ', ' ', ' ', ' 4、有较好的语言表达能力、沟通能力及执行能力。', ' ', ' ', ' ', '查看更多']",2017/2/22,中华英才网
,,,,,,,,,,,,,,,,,,
"	河北云漫计算机科技有限公司",数据分析工程师,NULL,NULL,NULL,计算机服务,民营/私企,NULL,20人以下,NULL,石家庄 裕华区,4000-6000,"['年终奖', '绩效奖金', '商业保险', '带薪年假', '话费补贴', '交通补贴', '差旅补贴', '员工旅游', '节日福利', '定期体检', '员工培训', '晋升空间大', '更多']",全职,经验应届生,大专,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '1. 参与设计客户要求的大数据/数据分析系统，参与撰写相关方案；', '2. 相关大数据/数据分析系统的讲解、测试工作；', '3. 大数据/数据分析系统环境的维护、调优以及搭建；', '4. 根据业务需要，跟踪大数据技术领域趋势并能结合实际业务应用。', '任职要求：', '1. 专科及以上学历，计算机/信息管理/企业管理等相关专业毕业；', '2. 对企业数据、信息管理、数据分析等有相关理解；', '3. 对大数据技术有浓厚兴趣者优先', '查看更多']",error,中华英才网
,,,,,,,,,,,,,,,,,,
南京软航信息科技有限公司,大数据分析,NULL,NULL,NULL,计算机软件,民营/私企,NULL,301－500人,NULL,南京 雨花台,7000-10000,"['绩效奖金', '项目奖金', '五险一金', '带薪年假', '定期体检', '员工培训', '员工旅游', '节日福利', '工作内容有趣', '优秀人才多', '领导易相处', '更多']",全职,经验应届生,本科,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '1、应、往届数学，统计学，计算机、信息、软件、电子技术、自动化、电子商务等相关专业及理工科的专、本科学生，有项目经验者优先。', '2、对编程感兴趣，有志于在IT行业发展。', '3、有计算机语言基础，如：JAVA、C语言、C++、C#、.Net、ASP、JSP、PHP、HTML等。', '任职要求：', '1，二本及以上学历，数学，统计学优先，计算机及其相关专业。', '2，能接受公司4~5个月的内部岗前实训。', '3,扎实的数学功底与良好的逻辑思维。', '4,就业地点南京。', '5.英语水平CET4及以上。', '江苏航软集团南京分公司，参与江苏大数据产业联盟计划。所有来公司参见实训的学员，经南京邮电大学博士4~6个月的指导，一经考核后，及可获得由国家  工信部  颁发 大数据职业技术证书，成为中国本土大数据元老。 目前只有本公司获得审核并颁发此证的资格。', '待遇非常优厚。非诚勿扰！', '详情可致电公司电话咨询，或直接到公司详谈。', '查看更多']",2017/3/21,中华英才网
,,,,,,,,,,,,,,,,,,
沈阳合众麦投广告传媒有限公司,数据分析员,NULL,NULL,NULL,移动互联网,民营/私企,NULL,21－50人,NULL,沈阳 和平区,面议,"['五险一金', '节日福利', '员工旅游']",全职,经验1年,大专,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '负责业务数据分析，监控业务指标运行情况，以月/季/年为单位定期提供运营分析数据图表，提供预测预警和针对性策略建议；', '2.', '负责业务数据管理，进行客户、产品、市场、能效等维度的分析并提供合理对策，跟踪所实施的市场活动，整理形成定期效果分析报告；', '3.', '建立完善的产品、市场、培训等部门与业务团队的沟通反馈机制，了解业务相关的各类信息动态，定期收集整理并提供决策指引；', '4.', '定期监控收集竞争对手产品、市场、销售等情报，并进行调研分析，针对性给出策略建议；', '任职要求：1.', '数学、应用统计学、经济学等相关专业技能，运营、分析相关岗位工作经验1年以上；', '2.', '对数字敏感，了解数据模型和经营分析的通用方法论，对日常数据的进度分析和问题预警；', '3.', '结构化逻辑思维能力，缜密的分析总结能力；', '4.', '沟通表达力较强，积极主动乐观，有良好的团队合作意识；', '查看更多']",2017/3/21,中华英才网
,,,,,,,,,,,,,,,,,,
济南餐赢餐饮管理有限公司,数据分析师,NULL,NULL,NULL,电子商务,上市公司,NULL,500人以上,NULL,济南 历城区,3000-6000,"['绩效奖金', '带薪病假', '带薪年假', '定期体检', '弹性工作', '节日福利', '员工旅游', '员工培训', '地处繁华商圈', '办公室漂亮', '帅哥美女多', '晋升空间大', '办公装备高档', '更多']",全职,经验1年,本科,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '     1.热爱本职工作，具有高度的责任心和忘我的工作精神，爱岗敬业，工作认真细致，能认真完成公司交给的各项工作任务；', '    2.要求掌握较深的业务知识和计算机应用知识，能用行业各种应用软件进行各种数据分析和综合数据处理，加工成有用的信息提供领导进行决策；', '    3.负责本公司各部门数据的收集、传递(主要是上报)和管理工作，对各部门上报的信息数据，要做好详细的“数据传递纪录”，对未按时间要求漏报和数据有误的部门要及时督促，每月将各部门数据上报情况通报一次;', '     4.负责公司数据分析，通过监控及分析，推动各部门的改进，运营调整；', '任职要求：', '     1、统计学、应用数学、计算机等相关专业，本科及以上学历；\xa0', '     2、熟练掌握多种统计和挖掘方法，熟练使用SPSS、SAS等相关数据分析软件；\xa0', '     3、较强的数据敏感度，逻辑分析能力和文档写作能力；\xa0', '     4、有责任心，良好的沟通能力和组织管理能力以及心理承受能力，勇于接受挑战；\xa0', '     5、构建业务数据分析体系，帮助确定各项业务数据指标；\xa0', '查看更多']",2017/3/21,中华英才网
,,,,,,,,,,,,,,,,,,
长沙中软计算机系统服务有限公司,数据分析工程师/助理- 移动应用商城,NULL,NULL,NULL,计算机软件,上市公司,NULL,500人以上,NULL,长沙 岳麓区,4000-6000,"['商业保险', '带薪病假', '定期体检', '弹性工作', '优秀人才多', '领导易相处', '办公室漂亮', '年终奖', '员工旅游', '五险一金', '带薪年假', '晋升空间大', '绩效奖金', '节日福利', '更多']",全职,经验应届生,大专,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '1、分析每日、每周和每月的运营数据；', '2、通过用户行为数据建模、分析用户特征等，为业务决策提供参考； ', '3、负责数据分析体系的不断优化。', '任职要求：', '1、计算机、统计学、数学等相关专业，大专及以上学历；', '2、熟悉各种分析理论和方法；', '3、具备良好的交流沟通能力、逻辑思维能力和创新能力。', '福利待遇：', '1、公司实行双休制，严格按照国家法定节假日休假。', '2、正式入职可享受带薪休假(年假、婚假、丧假、产假、病假)。', '查看更多']",2017/3/21,中华英才网
,,,,,,,,,,,,,,,,,,
西安中软卓越信息技术有限公司,大数据分析助理/实习生 （地铁调度方向）,NULL,NULL,NULL,计算机软件,上市公司,NULL,500人以上,NULL,西安 碑林区,4000-6000,"['绩效奖金', '弹性工作', '晋升空间大', '话费补贴', '五险一金', '商业保险']",全职,经验应届生,大专,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '1、负责客户、产品数据挖掘需求的沟通、收集、整理。', '2、负责海量样本数据的提取，分析，挖掘，定期编写分析报告，并汇报给相关人员。', '3、与大数据技术人员配合，协助将相关分析方法进行技术实现。', '任职要求：', '1、专业不限，计算机或其他相关理工科专业优先，全日制统招专科及以上学历，成绩优秀      2016、2017届毕业生优先考虑。', '2、对互联网有着浓厚的兴趣，富有团队精神并具创造力。', '3、有较强的沟通能力、严谨的逻辑思维以及数据敏感性。', '4、具备良好的时间管理、规划执行力。\xa0', '5、经验不限，了解软件编程语言优先。', '查看更多']",2017/3/21,中华英才网
,,,,,,,,,,,,,,,,,,
合肥链家宝业房地产经纪有限公司,数据分析,NULL,NULL,NULL,中介服务,民营/私企,NULL,500人以上,NULL,合肥 政务区,3000-4000,"['绩效奖金', '年终奖', '五险一金', '带薪年假', '节日福利', '员工培训', '晋升空间大', '地处繁华商圈']",全职,经验1年,本科,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '1.负责平台规则与链家标准的宣导与落地； ', '2.负责核心业务资源的监督与质量管理；', '3.负责内部数据分析及审查。', ' ', '任职要求：', '1.统招本科及以上学历； ', '2.熟练使用办公软件，如EXCEL/PPT/Photoshop； ', '查看更多']",2017/3/21,中华英才网
,,,,,,,,,,,,,,,,,,
青岛盛世锦蓝贸易有限公司,销售数据分析,NULL,NULL,NULL,其他行业,民营/私企,NULL,21－50人,NULL,青岛 市南区,3000-5000,[],全职,,大专,"['职位介绍', '性别：不限', '岗位职责:', '查看更多']",2017/3/20,中华英才网
,,,,,,,,,,,,,,,,,,
东莞市以纯集团有限公司,数据分析专员,NULL,NULL,NULL,消费品家具/家居,其他,NULL,101－300人,NULL,东莞,4500-5999,"['餐饮补贴', '节日福利']",全职,,本科,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '查看更多']",2017/2/13,中华英才网
,,,,,,,,,,,,,,,,,,
厦门特步投资有限公司,数据分析,NULL,NULL,NULL,消费品家具/家居,其他,NULL,101－300人,NULL,哈尔滨,2001-4000,['带薪病假'],全职,经验1年,其他,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', ' 1、负责对商品运营数据进行量化分析，根据分析结果提供商品运营优化方案；', ' 2、对运营进行指标跟进；', ' 3、独立完成数据分析报表；', ' 4、销售结果、目标达成、店铺运营指标等方向提供数据分析，并根据分析结果提出建设性意见；', ' 任职要求：', ' 1、统招本科及以上学历，应用数学、统计学等相关专业 ', ' 2、有2年以上数据分析相关类工作，财务、市场营销、货品调拨零售行业相关工作经验优先考虑。 ', ' 3、熟练使用数据统计分析软件及Excel办公软件 ', ' 4、具备良好的逻辑分析能力及数据统计分析能力', ' ', '查看更多']",2017/2/22,中华英才网
,,,,,,,,,,,,,,,,,,
